perimeter,area,mean_r,mean_g,mean_b,max_h_val,name
789290,96646,60,55,56,47,svar
768446,50252,118,104,101,60,svar
743108,156308,117,106,138,118,super
772668,76215,136,136,156,136,super
777602,66348,133,122,111,165,para
773866,71829,87,77,79,60,para
737585,179719,156,158,160,159,cyl
789724,143603,129,107,95,115,para
783808,131207,145,136,153,157,mod
754178,116862,122,109,99,127,mod
707065,175641,119,117,118,107,let
748344,94384,128,131,126,140,inter
791594,115379,149,147,152,157,mod
770304,96102,92,85,99,59,let
740410,154893,111,98,103,95,mod
745204,144471,141,144,127,143,let
739538,179412,131,126,117,142,let
737010,41011,160,160,161,161,inter
756597,188426,166,166,173,169,mod
783835,110394,121,119,112,137,mod
789713,145185,129,107,95,101,para
737628,50690,122,124,122,117,cyl
763337,91947,141,119,118,157,para
787449,80734,135,107,148,155,para
738330,55128,123,123,141,128,super
738432,73859,126,123,141,164,super
772212,145215,144,129,129,133,svar
777317,70231,154,138,162,155,svar
787257,109031,132,125,153,160,super
749284,98265,103,91,83,73,svar
753200,98238,119,97,112,131,svar
740013,60726,128,129,145,130,super
739804,129109,115,103,108,97,svar
728258,148828,133,136,144,135,super
754054,104623,126,105,141,145,para
744920,40564,129,131,135,151,cyl
777649,76920,133,122,110,165,para
737975,141460,131,131,122,139,let
745013,134125,145,138,162,165,mod
786491,61129,143,141,145,167,mod
801128,110459,151,144,135,154,let
750433,56168,128,123,131,136,inter
743966,73163,136,130,132,161,let
751430,71707,133,143,122,142,inter
733343,186850,102,80,84,65,let
780121,130728,139,116,128,131,let
975789,42545,149,132,124,179,mod
746170,143185,138,139,142,163,let
765280,71762,127,116,108,151,mod
726085,6670,146,152,153,153,cyl
777641,52831,133,122,110,165,para
734547,100574,139,139,144,141,cyl
759694,72251,144,129,120,159,para
726143,187221,145,155,158,165,super
735580,5831,145,157,162,157,super
767886,106810,125,116,109,137,svar
760429,85286,132,123,147,122,super
706625,128028,110,102,106,38,svar
770619,83291,128,117,152,122,super
762452,112417,147,147,152,145,svar
740198,138446,123,112,133,175,svar
767368,115784,131,121,151,124,super
787978,117932,131,104,116,116,svar
754150,96960,130,114,103,123,para
736319,151296,120,115,119,139,cyl
763568,164607,136,120,98,141,para
759297,100216,120,99,105,119,let
733472,146136,141,136,117,149,let
752609,49593,142,145,139,144,inter
768124,42930,121,115,126,161,mod
741158,90911,109,111,110,165,let
750927,94311,117,115,98,127,mod
750996,112203,152,158,164,165,let
724581,123723,142,146,145,157,mod
711771,111450,110,96,100,119,mod
765825,58880,122,117,110,144,let
762402,84021,130,136,121,134,inter
765235,58422,114,106,98,72,para
736353,200392,173,168,171,171,cyl
754087,146697,130,115,103,111,para
749266,129379,135,130,147,134,super
740991,178582,98,92,97,41,svar
736749,118403,118,111,106,129,svar
737545,179420,147,156,162,155,super
771857,75379,147,147,157,161,svar
753937,84133,133,136,138,125,super
778416,29980,133,129,156,132,super
737758,148597,151,161,164,165,super
720688,170645,110,107,111,39,svar
762965,54825,106,100,99,156,svar
738494,188449,168,145,142,153,para
758703,97750,168,156,152,155,para
719786,164961,57,57,73,47,para
736403,143574,120,115,120,139,cyl
714549,160863,116,105,116,179,mod
742793,93099,141,145,134,134,inter
739592,151655,118,95,133,127,let
736845,114552,127,118,122,163,let
777477,118206,135,142,119,150,inter
800351,39331,128,122,123,143,mod
774080,112213,139,135,134,149,mod
739285,170688,93,80,71,54,mod
757355,72582,130,124,123,134,mod
749708,109900,140,134,147,159,let
718922,39354,146,152,151,155,inter
782165,121938,120,101,102,132,mod
740629,161272,86,121,88,121,let
736382,171444,126,121,125,139,cyl
719813,157792,57,57,73,47,para
778186,82156,170,152,147,157,para
746789,147065,93,78,117,83,para
762933,98699,124,118,117,132,svar
732256,110881,120,114,106,143,svar
765923,66313,128,125,146,128,super
758958,40187,113,103,129,118,super
756939,152943,97,78,81,69,svar
763715,94087,93,88,104,115,svar
759923,98172,130,121,121,99,svar
763164,24295,122,110,103,157,para
745614,108519,127,123,137,141,cyl
776836,59130,99,101,99,165,cyl
744742,51914,138,135,140,149,cyl
739493,118081,113,99,99,119,mod
735252,160454,123,111,100,133,mod
784669,99996,130,126,132,106,mod
807631,85294,133,118,133,147,let
767439,62809,123,121,124,135,mod
754953,75212,117,112,113,120,inter
768929,172853,99,81,82,59,let
740270,155337,138,127,127,149,let
733905,97258,129,134,118,138,inter
739084,147872,130,127,116,109,let
736266,85254,133,140,124,140,inter
737132,78062,128,133,132,124,inter
738590,100529,103,106,105,105,let
762845,93512,139,137,126,139,let
782111,50292,132,131,138,169,mod
769460,22655,143,155,162,163,mod
786494,103206,112,104,96,113,mod1
743310,111660,128,132,108,137,mod
746342,89851,139,136,127,137,mod
767938,20216,146,146,151,156,cyl
771051,34278,136,134,139,157,cyl
736660,127597,129,124,138,139,cyl
769568,74275,97,84,72,74,para
772612,175499,138,130,133,155,svar
763712,84339,92,88,104,115,svar
728947,169965,89,72,77,67,svar
750769,159480,119,110,123,133,svar
726755,150728,118,103,103,95,svar
776835,72366,97,99,97,165,cyl
756127,135765,162,144,143,149,para
738551,4257,152,155,157,157,cyl
665641,192840,48,50,60,55,svar
713838,190040,181,174,176,175,mod
749433,143930,128,118,113,148,let
748053,163871,132,125,119,177,mod
756957,87437,138,139,141,132,inter
735668,192738,130,126,107,119,mod
738141,146775,119,108,98,108,mod
761570,210183,133,126,112,135,mod
761427,30391,127,130,120,138,inter
762702,157652,135,120,121,133,let
776087,166273,105,96,88,61,let
752041,71279,131,134,134,134,inter
746925,103674,138,144,157,161,let
777266,71707,137,140,140,173,inter
760067,116999,124,131,113,142,inter
737268,33389,161,160,162,161,mod
783990,68495,119,111,110,145,let
772340,65822,138,140,148,155,mod
761055,140571,120,121,124,173,mod
777157,169417,141,132,134,145,inter
774691,63231,136,129,127,145,mod
755324,93079,143,136,144,173,mod
734827,110619,121,120,118,157,let
758714,77950,115,115,116,163,svar
735879,64797,102,120,93,119,cyl
774988,58783,120,102,134,117,para
731017,10463,133,135,140,149,cyl
726782,129899,118,103,103,95,svar
736076,150022,37,41,48,41,svar
734468,188265,231,212,208,221,svar
742238,153489,146,146,145,155,svar
738707,176687,139,128,123,157,svar
775657,96548,133,112,144,149,para
771037,24582,136,134,139,159,cyl
774086,87255,142,127,110,139,para
765082,62541,122,116,138,127,cyl
731034,164135,116,112,110,147,mod
750611,185293,105,99,87,99,mod
733561,122864,126,128,117,146,let
781483,142539,137,108,112,125,let
744338,128245,142,143,136,145,inter
785529,118040,128,122,126,138,inter
772108,118616,154,145,137,159,mod
759313,84226,120,116,111,168,let
770945,61528,132,128,124,149,mod
739500,144786,128,126,140,157,mod
771178,84910,122,118,126,130,inter
768286,162255,178,171,171,171,let1
763378,66494,123,128,126,134,inter
745893,51149,99,93,95,91,mod
727042,82060,123,131,136,143,mod
771236,91533,116,106,103,145,mod
743445,67370,102,96,96,104,inter
724358,155227,141,140,133,173,let
794672,74299,126,115,110,142,let
777917,112731,143,138,151,137,inter
730067,189933,67,60,68,53,mod
748632,110685,103,99,98,47,let
730987,165948,114,111,109,147,mod
765082,133010,132,126,145,147,cyl
769993,199271,175,149,137,205,para
